Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
IMFL,Brandy,FINEST MANSION HOUSE FRENCH BRANDY,375 ml,25,,,35,390,24,,,,,,,,,,,,,,,,
IMFL,Brandy,FINEST MANSION HOUSE FRENCH BRANDY,750  ml,25,45.7,6.48,35,740,12,,,,,,,,,,,,,,,,
IMFL,Brandy,Honey Bee Premium Brandy,180 ml,25,,,,180,48,,,,,,,,,,,,,,,,
IMFL,Brandy,Honey Bee Premium Brandy,375 ml,25,,,,340,24,,,,,,,,,,,,,,,,
IMFL,Brandy,Honey Bee Premium Brandy,750  ml,25,,,,660,12,,,,,,,,,,,,,,,,
IMFL,Brandy,Mount Brandy,180 ml,25,,,,150,48,,,,,,,,,,,,,,,,
IMFL,Brandy,Mount Brandy,750  ml,25,,,,560,12,,,,,,,,,,,,,,,,
IMFL,Brandy,Nautilus Premium Blended XO Brandy,750  ml,25,57.18,5.93,50,930,12,,,,,,,,,,,,,,,,
IMFL,Brandy,TI Courrier Napoleon Crafted French Brandy,750  ml,25,,,,770,12,,,,,,,,,,,,,,,,
IMFL,Brandy,TI Mansion House Rarest Spirit French Brandy,750  ml,25,,,,770,12,,,,,,,,,,,,,,,,
IMFL,Brandy,TI'S COURRIER NAPOLEON CLASSIC FRENCH BRANDY GREEN,750  ml,25,,,,870,12,,,,,,,,,,,,,,,,
OS,Chanmagne,Dom Perignon Cuvee Champagne,750  ml,25,,,,22130,12,,,,,,,,,,,,,,,,
OS,Chanmagne,Drappier Carte DOR Champagne,750  ml,25,,,,6910,12,,,,,,,,,,,,,,,,
OS,Chanmagne,G H MUMM CORDON ROUGE CHAMPAGNE,750  ml,25,,,,6010,12,,,,,,,,,,,,,,,,
OS,Chanmagne,Moet & Chandon Imperial,750  ml,25,,,,6750,12,,,,,,,,,,,,,,,,
OS,Chanmagne,Moet & Chandon Rose Imperial Champagne,750  ml,25,,,,8650,12,,,,,,,,,,,,,,,,
OS,Cognac,Hennessy VS Cognac,700 ml,25,,,,4550,12,,,,,,,,,,,,,,,,
OS,Cognac,Hennessy VSOP Cognac,700 ml,25,,,,8140,12,,,,,,,,,,,,,,,,
OS,Cognac,Martell VSOP Cognac,700 ml,25,,,,8000,12,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,ALPHA's RACE,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BABU MOSHAI,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BAGH,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BAZIGAR,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BAZIGAR,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Bengal Fighter,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Bengal Tiger Premium,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Bengal Tiger Premium,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,bengal tiger STRONG,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,Best Taste,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BHAI,300 ml,70,2.29,0.02,0,28,30,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BINDASH,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
Country Liquor,Country Liquor,BINDASH PREMIUM,600 ml,60,5.92,1.24,0,120,20,,,,,,,,,,,,,,,,
