Category,Type,Brand Name,Size,Opening Stock
IMFL,Draught Beer,Kingfisher Premium Lager Beer,20000 ml,11
IMFL,Draught Beer,Kingfisher Premium Lager Beer,30000 ml,11
IMFL,Draught Beer,Kingfisher Premium Lager Beer,50000 ml,11
IMFL,Draught Beer,Kingfisher Strong Premium Beer,20000 ml,11
IMFL,Draught Beer,Kingfisher Strong Premium Beer,30000 ml,11
IMFL,Draught Beer,Kingfisher Strong Premium Beer,50000 ml,11
IMFL,Gin,Amrut Nilgiris Indian Dry Gin,750 ml,11
IMFL,Gin,Blue Lagoon Gin Orange,180 ml,11
IMFL,Gin,Blue Lagoon Gin Orange,375 ml,11
IMFL,Gin,Blue Lagoon Gin Orange,750 ml,11
IMFL,Gin,Calcutta Gin,750 ml,11
IMFL,Gin,Greater Than London Dry Gin,750 ml,11
IMFL,Gin,Hapusa Himalayan Dry Gin,750 ml,11
IMFL,Gin,Jaisalmer Indian Craft Gin 750 Ml,750 ml,11
IMFL,Gin,Mcdowells Blue Riband Premium Extra Dry Gin,750 ml,11
IMFL,Gin,Mcdowells Blue Riband Tango Gin-n-orange,180 ml,11
IMFL,Gin,Mcdowells Blue Riband Tango Gin-n-orange,375 ml,11
IMFL,Gin,Mcdowells Blue Riband Tango Gin-n-orange,750 ml,11
IMFL,Gin,S1 Yummy Orange Gin,180 ml,11
IMFL,Gin,S1 Yummy Orange Gin,375 ml,11
IMFL,Gin,S1 Yummy Orange Gin,750 ml,11
IMFL,Gin,Terai India Dry Gin,750 ml,11
IMFL,LAB,Bacardi + Cranberry Flavoured Rum Mixed Drink,275 ml,11
IMFL,LAB,Bacardi + Orange Flavoured Rum Mixed Drink,275 ml,11
IMFL,LAB,Bacardi + Super Select Cranberry Flavoured,275 ml,11
IMFL,LAB,Bacardi + Super Select Orange Flavoured,275 ml,11
IMFL,LAB,Breezer Blackberry Crush,275 ml,11
IMFL,LAB,Breezer Blackberry Crush,275 ml,11
IMFL,LAB,Breezer Bliss Juniper N Lime Flavoured,275 ml,11
IMFL,LAB,Breezer Bliss Lemony Iced Tea Flavoured,275 ml,11
IMFL,LAB,Breezer Bliss Super Select Juniper & Lime Flavoured,275 ml,11
IMFL,LAB,Breezer Bliss Super Select Lemony Iced Tea,275 ml,11
IMFL,LAB,Breezer Blueberry,275 ml,11
IMFL,LAB,Breezer Cranberry,275 ml,11
IMFL,LAB,Breezer Jamaican Passion,275 ml,11
IMFL,LAB,Breezer Orange,275 ml,11
IMFL,LAB,Breezer Super Select Crisp Watermelon Mint Flavour,275 ml,11
IMFL,LAB,Breezer Super Select Delicious Black Berry Crush Flavour,275 ml,11
IMFL,LAB,Breezer Super Select Exotic Jamaican Passion Flavour,275 ml,11
IMFL,LAB,Breezer Super Select Tangy Cranberry Flavour,275 ml,11
IMFL,LAB,Breezer Super Select Tasty Blue Berry Flavour,275 ml,11
IMFL,LAB,Breezer Super Select Zesty Orange Flavour,275 ml,11
IMFL,LAB,Breezer Watermelon Mint,275 ml,11
IMFL,LAB,Breezer Zesty Orange,275 ml,11
IMFL,Rum,Bacardi Apple Original Apple Rum,180 ml,11
IMFL,Rum,Bacardi Apple Original Apple Rum,375 ml,11
IMFL,Rum,Bacardi Apple Original Apple Rum,750 ml,11
IMFL,Rum,Bacardi Black Original Premium Crafted Rum,,11
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,180 ml,11
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,375 ml,11
IMFL,Rum,Bacardi Carta Blanca Superior White Rum,750 ml,11
IMFL,Rum,Bacardi Carta Oro Superior Gold Rum,,11
IMFL,Rum,Bacardi Classic Black Original Premium Crafted Rum,,11
IMFL,Rum,Bacardi Limon Original Citrus Rum,180 ml,11
IMFL,Rum,Bacardi Limon Original Citrus Rum,375 ml,11
IMFL,Rum,Bacardi Limon Original Citrus Rum,750 ml,11
IMFL,Rum,Bacardi Orange Original Orange Rum,375 ml,11
IMFL,Rum,Bacardi Orange Original Orange Rum,750 ml,11
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,180 ml,11
IMFL,Rum,Black By Bacardi Deluxe Original Premium Crafted Rum,375 ml,11
